transcript	SRR1976948	SRR1977249
k99_1134	10.3629	1.31227
k99_1138	590.836	403.288
k99_1140	78.095	87.7135
k99_1141	0.73904	32.0724
k99_1142	12.8567	1.83911
k99_1144	0.894152	36.2546
k99_1145	23.3664	0.0
k99_1154	0.0	16.6732
k99_1161	183.188	2521.6
k99_1162	25.7866	8.33321
k99_1163	18.9945	9.65428
k99_1164	27.0387	13.6932
k99_1165	124.158	140.12
k99_1166	75.8927	88.0804
k99_1171	21.481	0.0
k99_1176	8.03158	18.6232
k99_1177	36.7239	31.0012
k99_1183	14.8482	11.8507
k99_1188	24.8081	9.66841
k99_1190	203.422	177.264
k99_1195	33.9242	15.689
k99_1199	7.39892	5.58218
k99_1207	18.7741	9.25654
k99_1213	54.5669	20.2042
k99_1214	30.6252	15.9521
k99_1219	12.2281	1.71258
k99_1221	174.022	156.079
k99_1232	913.966	566.455
k99_1233	13.0126	1.63959
k99_1235	282.191	242.259
k99_1236	198.678	193.298
k99_1238	3774.86	1722.98
k99_1239	14.3338	10.1147
k99_1240	350.867	375.634
k99_1241	40.0747	21.9287
k99_1242	11.2247	6.43647
k99_1255	12.9144	1.81136
k99_1257	25.6533	10.3023
k99_1264	175.562	174.91
k99_1266	0.0	43.2132
k99_1268	19.082	17.4979
k99_1269	84.5599	98.5283
k99_1271	5.8063	1.15136
k99_1274	97.1373	1357.29
k99_1277	169.03	184.755
k99_1279	244.101	253.777
k99_1280	252.377	149.892
k99_1284	17.7758	10.5759
k99_1293	18.3533	12.4191
k99_1296	22.481	15.6588
k99_1302	59.9895	26.0109
k99_1306	148.238	139.601
k99_1313	0.753458	37.9068
k99_1315	240.68	217.003
k99_1321	0.359345	38.94
k99_1332	32.1972	12.5596
k99_1336	11.688	1.57445
k99_1337	21.6842	18.6185
k99_1343	11.3647	8.81506
k99_1345	18.2247	9.73814
k99_1349	200.945	161.881
k99_1362	63.9567	26.518
k99_1365	0.434009	48.6161
k99_1368	24.6583	13.9133
k99_1370	14.2692	1.10612
k99_1375	138.401	140.546
k99_1377	157.579	151.572
k99_1380	40.3809	15.0574
k99_1381	16.0467	9.4515
k99_1382	11.6058	6.40907
k99_1391	250.239	207.846
k99_1394	5.52212	11.26
k99_1395	9.75934	2.39486
k99_1399	188.89	3155.35
k99_1400	0.452397	36.891
k99_1403	287.544	3529.82
k99_1405	11.069	6.05593
k99_1411	68.5716	22.4058
k99_1414	0.0	32.6027
k99_1417	149.625	150.062
k99_1425	19.8124	11.8916
k99_1429	107.243	109.848
k99_1433	15.0269	4.79531
k99_1435	5.97184	0.0
k99_1437	12.7757	4.40586
k99_1439	89.2254	107.427
k99_1442	316.708	2752.42
k99_1443	0.0	34.12
k99_1445	15.6051	9.81976
k99_1449	9.85627	3.23278
k99_1459	14.8475	10.4311
k99_1460	171.859	151.253
k99_1461	285.089	202.397
k99_1462	299.046	351.482
k99_1467	58.8992	14.7453
k99_1469	0.0	45.4013
k99_1470	190.541	178.637
k99_1487	161.323	144.809
k99_1490	595.105	410.236
k99_1494	18.9958	6.39068
k99_1495	0.141993	34.4777
k99_1497	67.1558	35.8434
k99_1498	50.9475	28.6223
k99_1506	19.1315	9.61918
k99_1507	252.769	290.858
k99_1509	44.9108	26.0438
k99_1511	0.0	37.763
k99_1514	9.30577	1.24672
k99_1523	9.65355	2.0583
k99_1524	22.208	8.01799
k99_1534	174.112	2696.11
k99_1535	0.227363	35.7528
k99_1537	3317.17	1547.67
k99_1540	16.1379	4.98194
k99_1541	23.4859	12.7231
k99_1546	12.8311	6.67571
k99_1555	0.284015	35.1674
k99_1557	79.9545	98.648
k99_1559	9.8266	3.77797
k99_1562	33.1308	11.059
k99_1570	37.8715	15.6241
k99_1575	12.5992	1.25335
k99_1577	18.0598	20.2271
k99_1592	18.4156	2.81844
k99_1594	118.224	1901.28
k99_1598	16.1453	6.31189
k99_1601	978.09	40.0164
k99_1602	43.9534	15.8226
k99_1614	0.160562	41.8256
k99_1618	118.776	1674.96
k99_1620	11.0663	13.1435
k99_1622	144.706	122.081
k99_1625	0.583091	34.2429
k99_1637	77.5876	24.7908
k99_1644	9.85614	0.0
k99_1645	18.3757	9.28377
k99_1646	0.227674	38.3275
k99_1650	176.755	167.012
k99_1653	10.6544	5.9877
k99_1654	398.891	350.813
k99_1668	15.9464	6.08588
k99_1684	9.20305	3.05696
k99_1685	17.5055	8.02075
k99_1695	21.8082	10.3376
k99_1697	185.139	174.128
k99_1705	164.099	140.535
k99_1717	109.304	97.2776
k99_1726	0.0	42.7913
k99_1731	0.227574	35.9344
k99_1735	173.725	2878.87
k99_1738	23.8592	4.91808
k99_1742	24.5484	9.78148
k99_1747	18.0424	14.629
k99_1750	0.615351	36.718
k99_1753	22.6606	4.77692
k99_1764	257.924	214.001
k99_1766	650.458	257.864
k99_1772	19.1832	7.13571
k99_1774	0.497472	35.9133
